-- Bus
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0001', 'C020', 'K3320A', 'Mercedes-Benz OC500', 50, 'inactive', 2006, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0087', 'C015', 'W5438E', 'Isuzu LV423R', 48, 'retired', 2008, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0088', 'C006', 'P4823E', 'Hino RK8', 45, 'active', 2015, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0089', 'C020', 'W1062E', 'Hino RK8', 50, 'active', 2003, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0090', 'C012', 'K3378B', 'Isuzu LV423R', 44, 'inactive', 2013, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0091', 'C010', 'K2034A', 'MAN A95', 44, 'active', 2025, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0092', 'C006', 'K2321A', 'Hino RK8', 52, 'active', 2012, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0093', 'C006', 'B9122B', 'Hino RK8', 48, 'active', 2006, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0094', 'C009', 'B6912D', 'MAN A95', 44, 'active', 2004, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0095', 'C020', 'B8611A', 'Scania K410', 45, 'retired', 2002, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0096', 'C004', 'B6077E', 'Isuzu LV423R', 50, 'active', 2007, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0097', 'C018', 'K3484D', 'Mercedes-Benz OC500', 52, 'inactive', 2007, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0098', 'C019', 'K1930A', 'Hino RK8', 48, 'retired', 2013, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0099', 'C011', 'J2951A', 'Mercedes-Benz OC500', 50, 'active', 2021, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0100', 'C001', 'K9075E', 'Scania K410', 45, 'inactive', 2010, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0101', 'C001', 'P6250B', 'Isuzu LV423R', 50, 'inactive', 2003, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0102', 'C018', 'K8062D', 'Scania K410', 50, 'active', 2025, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0103', 'C016', 'K3939B', 'Mercedes-Benz OC500', 44, 'inactive', 2015, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0104', 'C009', 'W4577D', 'Volvo B11R', 44, 'retired', 2006, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0105', 'C006', 'P8462D', 'Isuzu LV423R', 48, 'active', 2025, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0106', 'C016', 'W8826B', 'Mercedes-Benz OC500', 52, 'active', 2003, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0107', 'C003', 'K1657E', 'Mercedes-Benz OC500', 48, 'inactive', 2019, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0108', 'C012', 'W6735C', 'Mercedes-Benz OC500', 45, 'inactive', 2018, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0109', 'C011', 'J3096D', 'Volvo B11R', 52, 'inactive', 2006, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0110', 'C004', 'P6359C', 'Scania K410', 52, 'inactive', 2006, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0111', 'C014', 'J8811B', 'Hino RK8', 44, 'active', 2015, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0112', 'C003', 'K5854D', 'Scania K410', 44, 'retired', 2003, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0113', 'C001', 'K1746B', 'Mercedes-Benz OC500', 50, 'retired', 2002, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0114', 'C003', 'B1823E', 'Scania K410', 50, 'inactive', 2005, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0115', 'C018', 'J3070A', 'Volvo B11R', 45, 'active', 2010, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0116', 'C008', 'J5444A', 'Scania K410', 44, 'active', 2011, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0117', 'C001', 'K2671D', 'Mercedes-Benz OC500', 45, 'under_maintenance', 2003, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0118', 'C014', 'B9152E', 'Isuzu LV423R', 40, 'under_maintenance', 2011, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0119', 'C015', 'B2457B', 'Hino RK8', 44, 'retired', 2011, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0120', 'C009', 'P7068D', 'Scania K410', 50, 'active', 2016, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0121', 'C017', 'P4425B', 'Hino RK8', 48, 'active', 2000, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0122', 'C009', 'P4300C', 'Scania K410', 40, 'under_maintenance', 2010, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0123', 'C016', 'J5123E', 'Hino RK8', 50, 'under_maintenance', 2024, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0124', 'C001', 'W3207D', 'Scania K410', 44, 'active', 2025, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0125', 'C016', 'B2929A', 'Hino RK8', 48, 'under_maintenance', 2015, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0126', 'C007', 'P1132D', 'Hino RK8', 45, 'active', 2016, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0127', 'C017', 'J8900B', 'Mercedes-Benz OC500', 45, 'retired', 2006, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0128', 'C004', 'P4392B', 'Volvo B11R', 50, 'active', 2020, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0129', 'C020', 'B3705C', 'Isuzu LV423R', 45, 'under_maintenance', 2004, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0130', 'C003', 'B3169E', 'Isuzu LV423R', 45, 'active', 2024, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0131', 'C004', 'W1226C', 'Scania K410', 45, 'inactive', 2007, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0132', 'C020', 'K2602D', 'Mercedes-Benz OC500', 40, 'active', 2001, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0133', 'C002', 'K1403C', 'Scania K410', 48, 'under_maintenance', 2017, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0134', 'C002', 'K7323D', 'Scania K410', 50, 'retired', 2014, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0135', 'C002', 'B8130C', 'Mercedes-Benz OC500', 50, 'active', 2002, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0136', 'C003', 'W5867A', 'MAN A95', 44, 'active', 2003, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0137', 'C016', 'B5765D', 'MAN A95', 50, 'under_maintenance', 2000, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0138', 'C004', 'P3196D', 'MAN A95', 40, 'under_maintenance', 2016, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0139', 'C012', 'K2886C', 'Volvo B11R', 52, 'inactive', 2016, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0140', 'C005', 'W6806D', 'Hino RK8', 48, 'active', 2010, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0141', 'C018', 'J2264D', 'Volvo B11R', 40, 'inactive', 2008, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0142', 'C006', 'P7667E', 'Hino RK8', 44, 'under_maintenance', 2001, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0143', 'C015', 'J2657D', 'Mercedes-Benz OC500', 50, 'under_maintenance', 2013, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0144', 'C017', 'B3023D', 'MAN A95', 44, 'retired', 2002, 'Awaiting spare parts');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0145', 'C006', 'P9955E', 'Mercedes-Benz OC500', 40, 'inactive', 2018, 'Accident repair');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0146', 'C009', 'B6066E', 'Isuzu LV423R', 45, 'inactive', 2009, 'Reserved for holiday peak');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0147', 'C002', 'J9894B', 'Isuzu LV423R', 45, 'retired', 2009, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0148', 'C018', 'B5299D', 'Scania K410', 45, 'retired', 2020, 'Newly purchased');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0149', 'C010', 'W8079D', 'Volvo B11R', 40, 'retired', 2008, 'Operational bus');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0150', 'C001', 'B5116E', 'Hino RK8', 48, 'active', 2025, 'Routine service');
INSERT INTO bus (busId, companyId, plateNo, model, capacity, status, year, remarks) VALUES ('B0151', 'C001', 'J7052D', 'Volvo B11R', 45, 'inactive', 2008, 'Accident repair');
