INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000001', 'D0401', NULL, 'B0216', TO_DATE('2025-01-19 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-19 22:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000028', 'D0035', NULL, 'B0073', TO_DATE('2025-03-13 07:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-13 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000029', 'D0217', NULL, 'B0055', TO_DATE('2025-04-11 18:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-12 02:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000033', 'D0390', NULL, 'B0467', TO_DATE('2025-02-08 08:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-08 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000035', 'D0244', NULL, 'B0124', TO_DATE('2025-04-07 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-07 22:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000036', 'D0325', 'D0474', 'B0049', TO_DATE('2025-03-27 08:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-27 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000037', 'D0366', NULL, 'B0226', TO_DATE('2025-03-26 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-26 19:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000038', 'D0275', NULL, 'B0013', TO_DATE('2025-04-26 12:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-26 20:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000039', 'D0426', NULL, 'B0074', TO_DATE('2025-04-07 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-08 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000040', 'D0089', 'D0347', 'B0271', TO_DATE('2025-03-23 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-24 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000041', 'D0244', NULL, 'B0220', TO_DATE('2025-03-04 06:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-04 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000042', 'D0439', 'D0337', 'B0111', TO_DATE('2025-02-04 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-04 19:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000044', 'D0470', NULL, 'B0407', TO_DATE('2025-03-24 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-24 23:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000045', 'D0476', NULL, 'B0158', TO_DATE('2025-03-01 06:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-01 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000046', 'D0114', NULL, 'B0126', TO_DATE('2025-03-17 13:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-17 21:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000049', 'D0342', 'D0094', 'B0388', TO_DATE('2025-01-16 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-16 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000051', 'D0298', NULL, 'B0139', TO_DATE('2025-03-05 18:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-06 02:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000053', 'D0272', NULL, 'B0339', TO_DATE('2025-01-30 13:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-30 21:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000054', 'D0447', 'D0450', 'B0435', TO_DATE('2025-02-18 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-18 23:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000056', 'D0086', NULL, 'B0397', TO_DATE('2025-01-19 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-19 18:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000058', 'D0154', 'D0342', 'B0329', TO_DATE('2025-02-18 08:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-18 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000061', 'D0041', NULL, 'B0055', TO_DATE('2025-01-03 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-03 19:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000064', 'D0122', NULL, 'B0344', TO_DATE('2025-03-23 12:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-23 20:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000067', 'D0370', NULL, 'B0142', TO_DATE('2025-02-05 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-06 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000069', 'D0095', 'D0495', 'B0267', TO_DATE('2025-03-20 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-20 23:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000072', 'D0227', 'D0267', 'B0213', TO_DATE('2025-01-28 08:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-28 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000073', 'D0294', NULL, 'B0141', TO_DATE('2025-03-31 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-31 19:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000074', 'D0080', NULL, 'B0130', TO_DATE('2025-01-11 12:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-11 20:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000076', 'D0214', 'D0280', 'B0391', TO_DATE('2025-03-20 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-21 01:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000083', 'D0434', NULL, 'B0343', TO_DATE('2025-04-30 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-30 19:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000084', 'D0314', NULL, 'B0215', TO_DATE('2025-03-08 08:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-08 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000085', 'D0001', NULL, 'B0300', TO_DATE('2025-02-18 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-18 18:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000087', 'D0082', NULL, 'B0023', TO_DATE('2025-01-27 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-28 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000089', 'D0122', NULL, 'B0344', TO_DATE('2025-02-01 13:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-01 21:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000090', 'D0321', NULL, 'B0391', TO_DATE('2025-03-28 13:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-28 21:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000097', 'D0257', NULL, 'B0059', TO_DATE('2025-02-20 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-21 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000098', 'D0286', NULL, 'B0212', TO_DATE('2025-04-27 07:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-27 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000099', 'D0490', NULL, 'B0027', TO_DATE('2025-04-26 07:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-26 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000104', 'D0097', NULL, 'B0435', TO_DATE('2025-01-21 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-21 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000106', 'D0146', NULL, 'B0116', TO_DATE('2025-04-24 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-24 19:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000107', 'D0162', NULL, 'B0412', TO_DATE('2025-03-28 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-28 22:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000108', 'D0294', 'D0003', 'B0274', TO_DATE('2025-01-17 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-17 23:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000111', 'D0414', NULL, 'B0298', TO_DATE('2025-04-27 08:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-27 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000112', 'D0412', 'D0158', 'B0435', TO_DATE('2025-04-15 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-15 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000113', 'D0129', NULL, 'B0493', TO_DATE('2025-03-24 10:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-24 18:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000114', 'D0227', NULL, 'B0500', TO_DATE('2025-04-17 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-18 01:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Emergency support');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000115', 'D0129', NULL, 'B0438', TO_DATE('2025-01-22 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-22 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000116', 'D0404', 'D0166', 'B0307', TO_DATE('2025-03-13 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-13 23:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000117', 'D0457', 'D0052', 'B0380', TO_DATE('2025-04-19 06:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-19 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000118', 'D0392', NULL, 'B0470', TO_DATE('2025-03-19 12:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-19 20:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000121', 'D0220', NULL, 'B0447', TO_DATE('2025-01-12 15:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-12 23:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000125', 'D0282', NULL, 'B0176', TO_DATE('2025-01-05 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-05 22:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000127', 'D0094', NULL, 'B0349', TO_DATE('2025-03-31 18:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-01 02:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000130', 'D0188', NULL, 'B0168', TO_DATE('2025-01-01 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-01 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000134', 'D0072', 'D0071', 'B0296', TO_DATE('2025-04-21 06:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-21 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000137', 'D0231', NULL, 'B0124', TO_DATE('2025-04-20 09:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-20 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'inactive', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000139', 'D0430', NULL, 'B0134', TO_DATE('2025-03-23 18:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-24 02:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000142', 'D0126', 'D0068', 'B0448', TO_DATE('2025-03-17 06:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-17 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Training');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000143', 'D0255', NULL, 'B0277', TO_DATE('2025-03-23 06:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-03-23 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000146', 'D0325', NULL, 'B0460', TO_DATE('2025-04-11 11:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-04-11 19:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Regular shift');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000147', 'D0045', 'D0043', 'B0074', TO_DATE('2025-02-10 17:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-11 01:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Special event');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000150', 'D0261', NULL, 'B0433', TO_DATE('2025-01-16 16:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-01-17 00:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'active', 'Holiday service');
INSERT INTO driverListAssignment (assignmentId, mainDriverId, supportDriverId, busId, assignedFrom, assignedTo, status, remarks) VALUES ('A000152', 'D0490', NULL, 'B0112', TO_DATE('2025-02-09 06:00:00', 'YYYY-MM-DD HH24:MI:SS'), TO_DATE('2025-02-09 14:00:00', 'YYYY-MM-DD HH24:MI:SS'), 'not_assigned', 'Regular shift');
