-- Bus Driver
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0001', 'C008', 'DRV510134R', DATE '2027-07-13', 'Joseph', 'Mack', '+60-12-1301016', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0041', 'C010', 'DRV731227F', DATE '2031-08-05', 'Kimberly', 'Price', '+60-14-6106007', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0042', 'C011', 'DRV968380X', DATE '2028-10-15', 'Amanda', 'Morgan', '+60-18-5318407', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0043', 'C017', 'DRV858634F', DATE '2028-09-02', 'Crystal', 'Pham', '+60-17-1308723', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0044', 'C017', 'DRV155906T', DATE '2033-03-18', 'Ryan', 'Figueroa', '+60-11-7140103', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0045', 'C017', 'DRV759621M', DATE '2034-05-17', 'Elizabeth', 'Bailey', '+60-14-2028110', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0046', 'C012', 'DRV559217D', DATE '2034-04-25', 'Kevin', 'Moody', '+60-14-7062918', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0047', 'C014', 'DRV408042O', DATE '2027-02-13', 'Eric', 'Nguyen', '+60-17-3721524', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0048', 'C001', 'DRV745658D', DATE '2035-06-07', 'Xavier', 'Taylor', '+60-10-9265950', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0049', 'C009', 'DRV886683P', DATE '2035-02-23', 'Daniel', 'Barber', '+60-10-4143017', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0050', 'C019', 'DRV119907Z', DATE '2030-06-19', 'Patricia', 'Peterson', '+60-11-8749559', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0051', 'C011', 'DRV161076U', DATE '2031-04-06', 'Sarah', 'Sanchez', '+60-17-7459316', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0052', 'C004', 'DRV571206R', DATE '2032-02-13', 'Joseph', 'Williams', '+60-14-9111539', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0053', 'C006', 'DRV881226Y', DATE '2035-02-26', 'Christopher', 'Gonzalez', '+60-18-3149519', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0054', 'C012', 'DRV919308M', DATE '2030-01-12', 'Katherine', 'Vance', '+60-17-7546839', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0055', 'C006', 'DRV605861U', DATE '2026-12-06', 'James', 'Cunningham', '+60-14-6382703', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0056', 'C016', 'DRV909607U', DATE '2028-02-01', 'Carol', 'Miller', '+60-17-4165370', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0057', 'C015', 'DRV966658B', DATE '2028-11-28', 'Sarah', 'Lamb', '+60-13-5958772', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0058', 'C006', 'DRV858013L', DATE '2028-12-10', 'Kristi', 'Webb', '+60-10-3446442', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0059', 'C003', 'DRV895747P', DATE '2033-06-01', 'Kimberly', 'Scott', '+60-14-7671657', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0060', 'C009', 'DRV635086P', DATE '2034-11-28', 'Matthew', 'Rocha', '+60-16-4296232', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0061', 'C014', 'DRV886702I', DATE '2035-03-02', 'Sara', 'Lynch', '+60-17-8643604', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0062', 'C002', 'DRV239609J', DATE '2026-09-28', 'Rachel', 'Gibbs', '+60-13-7896810', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0063', 'C002', 'DRV117111C', DATE '2035-01-19', 'Matthew', 'Richards', '+60-13-6540413', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0064', 'C007', 'DRV668611U', DATE '2027-07-13', 'Michael', 'Murray', '+60-19-3126849', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0065', 'C020', 'DRV389791D', DATE '2033-10-18', 'Leslie', 'Robinson', '+60-11-6588756', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0066', 'C011', 'DRV208459Q', DATE '2034-04-12', 'Matthew', 'Molina', '+60-13-4063778', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0067', 'C006', 'DRV131534N', DATE '2029-09-17', 'Patrick', 'Shaffer', '+60-18-7358999', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0068', 'C008', 'DRV239382H', DATE '2033-09-11', 'Nicholas', 'Baker', '+60-12-5267493', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0069', 'C020', 'DRV644117Y', DATE '2029-08-12', 'Melissa', 'Bennett', '+60-19-3060154', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0070', 'C011', 'DRV415798E', DATE '2027-10-25', 'Sandra', 'Martinez', '+60-18-3354018', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0071', 'C020', 'DRV483339C', DATE '2031-02-26', 'Wesley', 'Jacobs', '+60-14-3991644', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0072', 'C020', 'DRV567705N', DATE '2027-07-29', 'Sheryl', 'Williams', '+60-11-4271808', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0073', 'C008', 'DRV841945S', DATE '2033-03-31', 'Kenneth', 'Owens', '+60-19-4115952', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0074', 'C006', 'DRV535197G', DATE '2032-02-29', 'John', 'Griffin', '+60-11-8428675', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0075', 'C003', 'DRV383934B', DATE '2034-02-10', 'Anna', 'Cooper', '+60-17-8628698', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0076', 'C014', 'DRV906562I', DATE '2034-05-22', 'Walter', 'Whitehead', '+60-10-6667260', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0077', 'C004', 'DRV107314G', DATE '2031-04-26', 'Matthew', 'Williams', '+60-18-7052602', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0078', 'C007', 'DRV540487F', DATE '2028-09-26', 'Andrew', 'Keller', '+60-12-2725354', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0079', 'C015', 'DRV699909Y', DATE '2028-11-18', 'Thomas', 'Williams', '+60-10-6679639', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0080', 'C003', 'DRV215982H', DATE '2029-01-17', 'Mark', 'Wood', '+60-15-8288395', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0081', 'C006', 'DRV146495W', DATE '2030-05-25', 'Carla', 'Johnson', '+60-10-9306290', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0082', 'C003', 'DRV863413M', DATE '2035-03-20', 'Rachel', 'Clay', '+60-14-7843364', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0083', 'C001', 'DRV483491T', DATE '2031-07-20', 'Janice', 'Santana', '+60-10-4644355', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0084', 'C011', 'DRV699715Z', DATE '2026-11-16', 'Malik', 'Hughes', '+60-12-2123265', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0085', 'C019', 'DRV154270H', DATE '2027-09-15', 'Monica', 'Mitchell', '+60-17-7104304', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0086', 'C017', 'DRV361103X', DATE '2033-09-19', 'Michael', 'Williams', '+60-19-3490268', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0087', 'C016', 'DRV317192P', DATE '2026-11-10', 'Tyler', 'Martin', '+60-13-3534934', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0088', 'C002', 'DRV550959U', DATE '2027-06-07', 'Joseph', 'Martin', '+60-15-5305420', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0089', 'C002', 'DRV130804H', DATE '2029-12-09', 'Kevin', 'Glenn', '+60-15-2413666', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0090', 'C019', 'DRV824200G', DATE '2034-08-04', 'Jeffrey', 'Rose', '+60-10-9897493', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0091', 'C004', 'DRV435485T', DATE '2028-05-24', 'Scott', 'Gardner', '+60-14-7363039', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0092', 'C009', 'DRV908424C', DATE '2031-05-23', 'Lindsay', 'Meyer', '+60-11-1926564', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0093', 'C018', 'DRV459555Z', DATE '2027-10-17', 'Cynthia', 'Long', '+60-18-7843394', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0094', 'C011', 'DRV187534J', DATE '2034-04-09', 'Daniel', 'Hudson', '+60-11-7219148', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0095', 'C012', 'DRV343613K', DATE '2034-01-21', 'Zachary', 'Moore', '+60-14-7605800', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0096', 'C008', 'DRV667978D', DATE '2028-12-05', 'James', 'Lewis', '+60-10-5418433', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0097', 'C006', 'DRV518246J', DATE '2030-09-29', 'Teresa', 'Sanchez', '+60-11-1580089', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0098', 'C005', 'DRV112664Z', DATE '2030-03-07', 'Charles', 'Ho', '+60-17-5638842', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0099', 'C015', 'DRV242387X', DATE '2026-10-29', 'Robert', 'Morris', '+60-18-6222793', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0100', 'C008', 'DRV337633P', DATE '2027-02-24', 'Bobby', 'David', '+60-15-4888260', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0101', 'C001', 'DRV308065K', DATE '2034-01-19', 'Holly', 'Ho', '+60-16-8840993', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0102', 'C009', 'DRV180447A', DATE '2031-10-25', 'Daniel', 'Lambert', '+60-14-7676044', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0103', 'C016', 'DRV837806Y', DATE '2032-03-01', 'Jason', 'Johnson', '+60-16-4494962', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0104', 'C016', 'DRV408046A', DATE '2032-10-15', 'Kristi', 'Owens', '+60-11-9003470', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0105', 'C007', 'DRV505423N', DATE '2033-09-08', 'Jeffrey', 'Bates', '+60-10-3942140', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0106', 'C013', 'DRV207280R', DATE '2034-01-12', 'Peter', 'Lopez', '+60-12-6991938', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0107', 'C015', 'DRV727679N', DATE '2027-12-13', 'Tonya', 'Crawford', '+60-19-3101743', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0108', 'C011', 'DRV718440Q', DATE '2027-05-13', 'Justin', 'Alvarez', '+60-17-2004765', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0109', 'C009', 'DRV935974J', DATE '2028-06-15', 'David', 'Stevens', '+60-17-1558731', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0110', 'C002', 'DRV534913G', DATE '2032-08-22', 'Andrea', 'Smith', '+60-17-2109173', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0111', 'C013', 'DRV606987X', DATE '2035-07-02', 'Michael', 'Cox', '+60-18-5572977', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0112', 'C019', 'DRV139254K', DATE '2033-04-14', 'Sharon', 'Rodriguez', '+60-12-9803706', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0113', 'C016', 'DRV696727F', DATE '2028-04-02', 'Brittany', 'Nguyen', '+60-16-6424565', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0114', 'C007', 'DRV223932Z', DATE '2028-01-18', 'Kimberly', 'Harris', '+60-13-2992269', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0115', 'C012', 'DRV329162P', DATE '2033-03-05', 'Hector', 'Martinez', '+60-17-8387469', 'suspended');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0116', 'C011', 'DRV916907P', DATE '2034-09-21', 'Donald', 'Roy', '+60-10-5641819', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0117', 'C009', 'DRV558607D', DATE '2029-05-28', 'Kristina', 'Miller', '+60-17-9175511', 'inactive');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0118', 'C018', 'DRV694919A', DATE '2027-03-10', 'Corey', 'Robinson', '+60-10-6939504', 'active');
INSERT INTO busDriver (driverId, companyId, licenseNo, licenseExpiry, firstName, lastName, phoneNumber, status) VALUES ('D0119', 'C012', 'DRV553849R', DATE '2033-12-16', 'Sharon', 'Stanley', '+60-10-3026006', 'inactive');
